time,vout,iout,
6.91E-09,5.21E-23,-1.04E-24,#REF!
6.93E-09,4.60E-23,-9.20E-25,#REF!
6.95E-09,4.30E-23,-8.60E-25,#REF!
6.97E-09,4.15E-23,-8.30E-25,#REF!
6.99E-09,4.07E-23,-8.14E-25,#REF!
7.01E-09,4.03E-23,-8.05E-25,#REF!
7.03E-09,4.00E-23,-8.00E-25,#REF!
7.05E-09,3.98E-23,-7.96E-25,#REF!
7.07E-09,3.97E-23,-7.93E-25,#REF!
7.09E-09,3.95E-23,-7.91E-25,#REF!
7.11E-09,3.94E-23,-7.88E-25,#REF!
7.13E-09,3.93E-23,-7.86E-25,#REF!
7.15E-09,3.92E-23,-7.84E-25,#REF!
7.17E-09,3.91E-23,-7.82E-25,#REF!
7.19E-09,3.90E-23,-7.80E-25,#REF!
7.21E-09,3.89E-23,-7.78E-25,#REF!
7.23E-09,3.88E-23,-7.76E-25,#REF!
7.25E-09,3.87E-23,-7.74E-25,#REF!
7.27E-09,3.86E-23,-7.72E-25,#REF!
7.29E-09,3.85E-23,-7.70E-25,#REF!
7.31E-09,3.84E-23,-7.68E-25,#REF!
7.33E-09,3.83E-23,-7.66E-25,#REF!
7.35E-09,3.82E-23,-7.64E-25,#REF!
7.37E-09,3.81E-23,-7.62E-25,#REF!
7.39E-09,3.80E-23,-7.60E-25,#REF!
7.41E-09,3.79E-23,-7.58E-25,#REF!
7.43E-09,3.78E-23,-7.56E-25,#REF!
7.45E-09,3.77E-23,-7.54E-25,#REF!
7.47E-09,3.76E-23,-7.52E-25,#REF!
7.49E-09,3.75E-23,-7.51E-25,#REF!
7.51E-09,3.74E-23,-7.49E-25,#REF!
7.53E-09,3.74E-23,-7.47E-25,#REF!
7.55E-09,3.73E-23,-7.45E-25,#REF!
7.57E-09,3.72E-23,-7.43E-25,#REF!
7.59E-09,3.71E-23,-7.42E-25,#REF!
7.61E-09,3.70E-23,-7.40E-25,#REF!
7.63E-09,3.69E-23,-7.38E-25,#REF!
7.65E-09,3.68E-23,-7.36E-25,#REF!
7.67E-09,3.67E-23,-7.35E-25,#REF!
7.69E-09,3.67E-23,-7.33E-25,#REF!
7.71E-09,3.66E-23,-7.31E-25,#REF!
7.73E-09,3.65E-23,-7.30E-25,#REF!
7.75E-09,3.64E-23,-7.28E-25,#REF!
7.77E-09,3.63E-23,-7.26E-25,#REF!
7.79E-09,3.62E-23,-7.25E-25,#REF!
7.81E-09,3.62E-23,-7.23E-25,#REF!
7.83E-09,3.61E-23,-7.21E-25,#REF!
7.85E-09,3.60E-23,-7.20E-25,#REF!
7.87E-09,3.59E-23,-7.18E-25,#REF!
7.89E-09,3.58E-23,-7.17E-25,#REF!
7.91E-09,3.58E-23,-7.15E-25,#REF!
7.93E-09,3.57E-23,-7.14E-25,#REF!
7.95E-09,3.56E-23,-7.12E-25,#REF!
7.97E-09,3.55E-23,-7.11E-25,#REF!
7.99E-09,3.55E-23,-7.09E-25,#REF!
8.01E-09,3.54E-23,-7.07E-25,#REF!
8.03E-09,3.53E-23,-7.06E-25,#REF!
8.05E-09,3.52E-23,-7.05E-25,#REF!
8.07E-09,3.52E-23,-7.03E-25,#REF!
8.09E-09,3.51E-23,-7.02E-25,#REF!
8.11E-09,3.50E-23,-7.00E-25,#REF!
8.13E-09,3.49E-23,-6.99E-25,#REF!
8.15E-09,3.49E-23,-6.97E-25,#REF!
8.17E-09,3.48E-23,-6.96E-25,#REF!
8.19E-09,3.47E-23,-6.94E-25,#REF!
8.21E-09,3.47E-23,-6.93E-25,#REF!
8.23E-09,3.46E-23,-6.92E-25,#REF!
8.25E-09,3.45E-23,-6.90E-25,#REF!
8.27E-09,3.44E-23,-6.89E-25,#REF!
8.29E-09,3.44E-23,-6.87E-25,#REF!
8.31E-09,3.43E-23,-6.86E-25,#REF!
8.33E-09,3.42E-23,-6.85E-25,#REF!
8.35E-09,3.42E-23,-6.83E-25,#REF!
8.37E-09,3.41E-23,-6.82E-25,#REF!
8.39E-09,3.40E-23,-6.81E-25,#REF!
8.41E-09,3.40E-23,-6.80E-25,#REF!
8.43E-09,3.39E-23,-6.78E-25,#REF!
8.45E-09,3.38E-23,-6.77E-25,#REF!
8.47E-09,3.38E-23,-6.76E-25,#REF!
8.49E-09,3.37E-23,-6.74E-25,#REF!
8.51E-09,3.37E-23,-6.73E-25,#REF!
8.53E-09,3.36E-23,-6.72E-25,#REF!
8.55E-09,3.35E-23,-6.71E-25,#REF!
8.57E-09,3.35E-23,-6.69E-25,#REF!
8.59E-09,3.34E-23,-6.68E-25,#REF!
8.61E-09,3.34E-23,-6.67E-25,#REF!
8.63E-09,3.33E-23,-6.66E-25,#REF!
8.65E-09,3.32E-23,-6.65E-25,#REF!
8.67E-09,3.32E-23,-6.63E-25,#REF!
8.69E-09,3.31E-23,-6.62E-25,#REF!
8.71E-09,3.31E-23,-6.61E-25,#REF!
8.73E-09,3.30E-23,-6.60E-25,#REF!
8.75E-09,3.29E-23,-6.59E-25,#REF!
8.77E-09,3.29E-23,-6.58E-25,#REF!
